,moduleCode,title,semesters
1448,DEP5109,Integrated Planning Project,[2]
1449,DEP5110,Urban Design and Planning,[2]
1450,DEP5111,Planning Technologies,[2]
1451,DEP5112,Planning Policy and Process,[1]
1452,DEP5113,Quantitative Methods for Urban Planning,[2]
1453,DEP5117,"Technology, Society, and Cities",[2]
1454,DEP5118,Community Data Gathering and Visualisation,[2]
1455,DEP5119,"Planning, Design and Development Guidelines",[2]
1456,DI5100,Dental Implantology,"[1, 2]"
1457,DI5200,Graduate Diploma in Geriatric Dentistry,"[1, 2]"
1458,DL5101,Digital Organisation Models,[2]
1459,DL5102,Digital Agility and Change Leadership,[1]
1460,DL5103,Innovation By Design,[2]
1461,DL5107,Digital Leadership Capstone Project,"[1, 2]"
1462,DL5201,Strategic Thinking & Digital Foresight,[2]
1463,DL5202,Digital Business Strategy,[1]
1464,DL5203,Mastering Digital Architecture,[2]
1465,DL5301,Talent and Leadership Pathways,[1]
1466,DL5302,Managing Digitalisation Complexity,[2]
1467,DL5303,Digital Governance,[1]
1468,DMA1401L01,Design Your Own Course,[1]
1469,DMA1401L02,Design Your Own Course,[2]
1470,DMA1401PH,Design Your Own Course,[1]
1471,DMB1201ACC,Design Your Own Course,[2]
1472,DMB1201BSP,Design Your Own Course,"[1, 2]"
1473,DMB1201DAO,Design Your Own Course,[2]
1474,DMB1201DO,Design Your Own Course,"[1, 2]"
1475,DMB1201FIN,Design Your Own Course,"[1, 2]"
1476,DMB1201MKT,Design Your Own Course,"[1, 2]"
1477,DMB1201MNO,Design Your Own Course,[1]
1478,DMB1202ACC,Design Your Own Course,"[1, 2]"
1479,DMB1202BSP,Design Your Own Course,"[1, 2]"
1480,DMB1202DAO,Design Your Own Course,"[1, 2]"
1481,DMB1202DO,Design Your Own Course,[1]
1482,DMB1202FIN,Design Your Own Course,"[1, 2]"
1483,DMB1202MKT,Design Your Own Course,"[1, 2]"
1484,DMB1202MNO,Design Your Own Course,"[1, 2]"
1485,DMB1203ACC,Design Your Own Course,[2]
1486,DMB1203BSP,Design Your Own Course,[2]
1487,DMB1203DAO,Design Your Own Course,[2]
1488,DMB1203DO,Design Your Own Course,[2]
1489,DMB1203FIN,Design Your Own Course,[2]
1490,DMB1203MKT,Design Your Own Course,[2]
1491,DMB1203MNO,Design Your Own Course,[2]
1492,DMB1204ACC,Design Your Own Course,[2]
1493,DMB1204BSP,Design Your Own Course,[2]
1494,DMB1204DAO,Design Your Own Course,[2]
1495,DMB1204DO,Design Your Own Course,[2]
1496,DMB1204FIN,Design Your Own Course,[2]
1497,DMB1204MKT,Design Your Own Course,[2]
1498,DMB1204MNO,Design Your Own Course,[2]
1499,DMC1401,Design Your Own Course,[1]
1500,DMC1401CS,Design Your Own Course,[1]
1501,DMC1401IS,Design Your Own Course,[1]
1502,DMS1401CM,Design Your Own Course,[1]
1503,DMS1401SP,Design Your Own Course,"[1, 2]"
1504,DMS1402SP,Design Your Own Course 2,[2]
1505,DMX1101,Design Your Own Course,"[1, 2, 3, 4]"
1506,DMX1101AI,Design Your Own Course,"[1, 2, 3, 4]"
1507,DMX1101CT,Design Your Own Course,"[1, 2, 3, 4]"
1508,DMX1102,Design Your Own Course,"[1, 2, 3, 4]"
1509,DMX1103,Design Your Own Course,"[1, 2, 3, 4]"
1510,DMX1104,Design Your Own Course,"[1, 2, 3, 4]"
1511,DMX1105,Design Your Own Course,"[1, 2, 3, 4]"
1512,DMX1106,Design Your Own Course,"[1, 2, 3, 4]"
1513,DMX1107,Design Your Own Course,"[1, 2, 3, 4]"
1514,DMX1108,Design Your Own Course,"[1, 2, 3, 4]"
1515,DMX1201,Design Your Own Course,"[1, 2, 3, 4]"
1516,DMX1201AI,Design Your Own Course,"[1, 2, 3, 4]"
1517,DMX1201CT,Design Your Own Course,"[1, 2, 3, 4]"
1518,DMX1202,Design Your Own Course,"[1, 2, 3, 4]"
1519,DMX1203,Design Your Own Course,"[1, 2, 3, 4]"
1520,DMX1204,Design Your Own Course,"[1, 2, 3, 4]"
1521,DMX1301,Design Your Own Course,"[1, 2, 3, 4]"
1522,DMX1301AI,Design Your Own Course,"[1, 2, 3, 4]"
1523,DMX1301CT,Design Your Own Course,"[1, 2, 3, 4]"
1524,DMX1302,Design Your Own Course,"[1, 2, 3, 4]"
1525,DMX1401,Design Your Own Course,"[1, 2, 3, 4]"
1526,DMX1401AI,Design Your Own Course,"[1, 2, 3, 4]"
1527,DMX1401CT,Design Your Own Course,"[1, 2, 3, 4]"
1528,DMX1402,Design Your Own Course,"[1, 2, 3, 4]"
1529,DMX1501,Design Your Own Course,"[1, 2, 3, 4]"
1530,DMX1501AI,Design Your Own Course,"[1, 2, 3, 4]"
1531,DMX1501CT,Design Your Own Course,"[1, 2, 3, 4]"
1532,DMX1601,Design Your Own Course,"[1, 2, 3, 4]"
1533,DMX1701,Design Your Own Course,"[1, 2, 3, 4]"
1534,DMX1801,Design Your Own Course,"[1, 2, 3, 4]"
1535,DMY1201RF,Design Your Own Course,"[1, 2]"
1536,DMY1401EH,Design Your Own Course,[1]
1537,DMY1401ELC,Design Your Own Course,"[1, 2]"
1538,DMY1401FA,Design Your Own Course,"[1, 2]"
1539,DMY1401HL,Design Your Own Course,[1]
1540,DMY1401LED,Design Your Own Course,[1]
1541,DMY1401PGP,Design Your Own Course,"[1, 2]"
1542,DMY1401PSP,Design Your Own Module,"[1, 2]"
1543,DMY1401RF,Design Your Own Course,"[1, 2]"
1544,DMY1401SOG,Design Your Own Course,"[1, 2]"
1545,DMY1401TSG,Design Your Own Course,[1]
1546,DMY1401TT,Design Your Own Course,[1]
1547,DOS3701,Supply Chain Management,"[1, 2]"
1548,DOS3702,Procurement Management,"[1, 2]"
1549,DOS3703,Service Operations Management,"[1, 2]"
1550,DOS3704,Operations Strategy,"[1, 2]"
1551,DOS3714,Sustainable Operations Management,[2]
1552,DOS3751,Independent Study in Ops & Supply Chain Management,[1]
1553,DOS3752,Independent Study in Ops & Supply Chain Management (2 Unit),[1]
1554,DOS3811,Technology and Business Innovation,[2]
1555,DOS4712,Co-ordination and Flexibility in SCM,[1]
1556,DOS4715,The Lean Six Sigma Playbook,[2]
1557,DOS4751,Advanced Independent Study in Ops & Supply Chain Mgt,"[1, 2]"
1558,DOS4752,Advanced Independent Study in Ops & Supply Chain Mgt (2 Unit),[1]
1559,DOS4811,Data Visualisation,"[1, 2]"
1560,DOS4813,Managerial Problem Solving,[2]
1561,DOS5021,Managing the Digital Supply Chain,[2]
1562,DOS5022,Data Analytics for Smart Manufacturing,[1]
1563,DOS5024,Strategic Procurement in a Digital World,[1]
1564,DOS5025,Global Industry Insights for Smart Industry (Classroom and Practical Training),[3]
1565,DOS5101,Supply Chain Coordination and Risk Management,"[1, 2]"
1566,DOS5101A,Managing the Financial Supply Chain,[2]
1567,DOS5102,Analytical Tools for Consulting,"[1, 2]"
1568,DOS5103,Global Supply Chain Management,[2]
1569,DOS5104,Sustainable Supply Chains,[2]
1570,DOS5106,Supply Chain Models and Strategies,[1]
1571,DSA1101,Introduction to Data Science,"[1, 2]"
1572,DSA1361,Introductory Data Science with Python and Tableau,[4]
1573,DSA2101,Essential Data Analytics Tools: Data Visualisation,"[1, 2]"
1574,DSA2102,Essential Data Analytics Tools: Numerical Computation,"[1, 2]"
1575,DSA2310,FOS Undergraduate Professional Internship Programme 1ST,"[2, 3, 4]"
1576,DSA2312,FOS Undergraduate Professional Internship Programme 2S1,[1]
1577,DSA2313,FOS Undergraduate Professional Internship Programme 2S2,[2]
1578,DSA2362,Decision Trees for Machine Learning and Data Analysis,[4]
1579,DSA3101,Data Science in Practice,"[1, 2]"
1580,DSA3102,Essential Data Analytics Tools: Convex Optimisation,"[1, 2]"
1581,DSA3288,Advanced UROPS in Data Science and Analytics I,"[1, 2, 3, 4]"
1582,DSA3289,Advanced UROPS in Data Science and Analytics II,[2]
1583,DSA3310,FOS Undergraduate Professional Internship Programme 2ST,"[3, 4]"
1584,DSA3311,Undergraduate Professional Internship Programme,"[3, 4]"
1585,DSA3312,FOS Undergraduate Professional Internship Programme 3S1,"[1, 2]"
1586,DSA3313,FOS Undergraduate Professional Internship Programme 3S2,[2]
1587,DSA3361,Inferential Data Analytics,[1]
1588,DSA3362,Predictive Data Analytics,[2]
1589,DSA4199,Honours Project in Data Science and Analytics,"[1, 2]"
1590,DSA4211,High-Dimensional Statistical Analysis,[2]
1591,DSA4212,Optimisation for Large-Scale Data-Driven Inference,[1]
1592,DSA4262,Sense-making Case Analysis: Health and Medicine,"[1, 2]"
1593,DSA4263,Sense-making Case Analysis: Business and Commerce,[2]
1594,DSA4264,Sense-making Case Analysis: Public Policy and Society,[1]
1595,DSA4265,Sense-making Case Analysis: Economics and Finance,[2]
1596,DSA4266,Sense-making Case Analysis: Science and Technology,[1]
1597,DSA4288,Honours Project in Data Science and Analytics,"[1, 2]"
1598,DSA4288M,Honours Project in DSA (Operations Research),"[1, 2]"
1599,DSA4288S,Honours Project in DSA (Statistical Methodology),"[1, 2]"
1600,DSA4299,Applied Project in Data Science and Analytics,"[1, 2]"
1601,DSA4299C,Applied Project in Data Science and Analytics,[1]
1602,DSA4310,FOS Undergraduate Professional Internship Programme 3ST,[4]
1603,DSA4312,FOS Undergraduate Professional Internship Programme 4S1,"[1, 2]"
1604,DSA4313,FOS Undergraduate Professional Internship Programme 4S2,[2]
1605,DSA5101,Introduction to Big Data for Industry,[1]
1606,DSA5102,Foundations of Machine Learning,[1]
1607,DSA5103,Optimization Algorithms for Data Modelling,[2]
1608,DSA5104,Principles of Data Management and Retrieval,[1]
1609,DSA5105,Principles of Machine Learning,[1]
1610,DSA5201,DSML Industry Consulting and Applications Project,"[1, 2, 3, 4]"
1611,DSA5202,Advanced Topics in Machine Learning,[2]
1612,DSA5203,Visual Data Processing and Interpretation,[2]
1613,DSA5204,Deep Learning and Applications,[2]
1614,DSA5205,Data Science in Quantitative Finance,[1]
1615,DSA5206,Advanced Topics in Data Science,[3]
1616,DSA5207,Text Processing & Interpretation with Machine Learning,[2]
1617,DSA5208,Scalable Distributed Computing for Data Science,[1]
1618,DSC4214,Co-ordination and Flexibility in SCM,[2]
1619,DSC5221A,Managing the Financial Supply Chain,[2]
1620,DSE1101,Introductory Data Science for Economics,[1]
1621,DSE2310,FOS Undergraduate Professional Internship Programme 1ST,"[3, 4]"
1622,DSE2313,FOS Undergraduate Professional Internship Programme 2S2,[2]
1623,DSE3101,Practical Data Science for Economics,[2]
1624,DSE3310,FOS Undergraduate Professional Internship Programme 2ST,"[3, 4]"
1625,DSE3313,FOS Undergraduate Professional Internship Programme 3S2,[2]
1626,DSE4101,Capstone Project in Data Science and Economics I,[2]
1627,DSE4201,Capstone Project in Data Science and Economics II,[2]
1628,DSE4211,Digital Currencies,[2]
1629,DSE4212,Data Science in FinTech,[1]
1630,DSE4231,Topics in Data Science and the Digital Economy,[2]
1631,DSE4310,FOS Undergraduate Professional Internship Programme 3ST,"[3, 4]"
1632,DSE4313,FOS Undergraduate Professional Internship Programme 4S2,[2]
1633,DSS5101,Principles of Sustainability,[1]
1634,DSS5102,Advanced Regression and Time Series Analysis,[1]
1635,DSS5103,Geospatial Data Analysis,[2]
1636,DSS5104,Machine Learning and Predictive Modelling,[2]
1637,DSS5105,Data Science Projects in Practice,"[1, 2]"
1638,DSS5201,Data Visualisation,[1]
1639,DSS5202,Sustainable Systems Analysis,[1]
1640,DSS5203,ESG Data for Sustainable Finance and Investment,[2]
1641,DSS5210,Research/Industry Project I,"[2, 3, 4]"
1642,DSS5211,Research/Industry Project II,"[3, 4]"
1643,DTK1234,Design Thinking,"[1, 2]"
1644,DTK1234A,Design Thinking,[1]
1645,DTS2701,Engineering Mathematics,[2]
1646,DTS5701,Large Scale Systems Engineering,[2]
1647,DTS5702,C3 Systems,[1]
1648,DTS5703,Operations Research,[2]
1649,DTS5711,Integration Project,"[1, 2]"
1650,DTS5712,Thesis Project,"[1, 2]"
1651,DTS5731,Fundamentals of Systems Engineering,[2]
1652,DTS5732,Artificial Intelligence and Data Analytics,[2]
1653,DTS5733,Sensors and Intelligence,[2]
1654,DTS5733EC,Sensors and Intelligence,[2]
1655,DTS5734,Guided Systems,[1]
1656,DTS5735,Cybersecurity,[1]
1657,DTS5736,Systems Design Project,[1]
1658,DY5190,Graduate Seminar Course,"[1, 2]"
1659,DY5310,Endodontics,"[1, 2]"
1660,DY5320,Oral & Maxillofacial Surgery,"[1, 2]"
1661,DY5330,Orthodontics,"[1, 2]"
1662,DY5340,Periodontology,"[1, 2]"
1663,DY5350,Prosthodontics,"[1, 2]"
1664,DY5360,Paediatric Dentistry,"[1, 2]"
1665,EBA5001,Analytics Project Management,"[1, 2]"
1666,EBA5001G,Analytics Project Management,"[1, 2]"
1667,EBA5002,Business Analytics Practice,"[1, 2]"
1668,EBA5002G,Business Analytics Practice,"[1, 2]"
1669,EBA5003,Customer Analytics,"[1, 2]"
1670,EBA5003G,Customer Analytics,[2]
1671,EBA5004,Practical Language Processing,"[1, 2]"
1672,EBA5004G,Practical Language Processing,"[1, 2]"
1673,EBA5005,Specialized Predictive Modelling and Forecasting,"[1, 2]"
1674,EBA5005G,Specialized Predictive Modelling and Forecasting,"[1, 2]"
1675,EBA5006,Big Data Analytics,"[1, 2]"
1676,EBA5006G,Big Data Analytics,"[1, 2]"
1677,EBA5007,Capstone Project in Data Analytics,"[1, 2]"
1678,EBA5008,Intelligent Financial Risk Management,"[1, 2]"
1679,EBA5008G,Intelligent Financial Risk Management,"[1, 2]"
1680,EC1101E,Introduction to Economic Analysis,"[1, 2]"
1681,EC2101,Microeconomic Analysis I,"[1, 2]"
1682,EC2102,Macroeconomic Analysis I,"[1, 2]"
1683,EC2104,Quantitative Methods for Economic Analysis,"[1, 2]"
1684,EC2205,Economic Analysis of Business,[2]
1685,EC2303,Foundations for Econometrics,"[1, 2]"
1686,EC2374,Economy of Modern China I,[2]
1687,EC2383,Environmental Economics,[2]
1688,EC2880A,Topics in Economics: The Rise and Fall of Great Cities,[4]
1689,EC2880C,Introduction to Foreign Exchange,[4]
1690,EC3101,Microeconomic Analysis II,"[1, 2]"
1691,EC3102,Macroeconomic Analysis II,"[1, 2]"
1692,EC3303,Econometrics I,"[1, 2]"
1693,EC3304,Econometrics II,"[1, 2]"
1694,EC3305,Programming Tools for Economics,[1]
1695,EC3312,Game Theory & Applications to Economics,"[1, 2]"
1696,EC3314,Mathematics for Economists,[1]
1697,EC3322,Industrial Organisation I,[1]
1698,EC3332,Money and Banking I,"[1, 2]"
1699,EC3333,Financial Economics I,"[1, 2]"
1700,EC3342,International Trade I,[2]
1701,EC3343,International Finance I,"[1, 2]"
1702,EC3351,Public Finance,[2]
1703,EC3361,Labour Economics I,[2]
1704,EC3381,Urban Economics,[1]
1705,EC3385,Maritime and Shipping Economics,[4]
1706,EC3391,Evolution of Economic Thought & Analysis,[2]
1707,EC3394,Economics and Psychology,[2]
1708,EC3396,Economic Analysis of Law I,[2]
1709,EC3551,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
1710,EC3551R,FASS Undergraduate Research Opportunity (UROP),"[1, 2]"
1711,EC4301,Microeconomic Analysis III,"[1, 2]"
1712,EC4301HM,Microeconomic Analysis III,[2]
1713,EC4302,Macroeconomic Analysis III,"[1, 2]"
1714,EC4302HM,Macroeconomic Analysis III,"[1, 2]"
1715,EC4304,Economic and Financial Forecasting,"[1, 2]"
1716,EC4304HM,Economic and Financial Forecasting,"[1, 2]"
1717,EC4305,Applied Econometrics,"[1, 2]"
1718,EC4305HM,Applied Econometrics,"[1, 2]"
1719,EC4306,Applied Microeconomic Analysis,"[1, 2]"
1720,EC4306HM,Applied Microeconomic Analysis,"[1, 2]"
1721,EC4307,Issues in Macroeconomics,"[1, 2]"
1722,EC4307HM,Issues in Macroeconomics,"[1, 2]"
1723,EC4308,Machine Learning and Economic Forecasting,"[1, 2]"
1724,EC4308HM,Machine Learning and Economic Forecasting,"[1, 2]"
1725,EC4313,Search Theory and Applications,[1]
1726,EC4313HM,Search Theory and Applications,[1]
1727,EC4324,Economics of Competition Policy,[2]
1728,EC4324HM,Economics of Competition Policy,[2]
1729,EC4331,Monetary Economics and Policy,[1]
1730,EC4331HM,Monetary Economics and Policy,[1]
1731,EC4332,Money and Banking II,[2]
1732,EC4332HM,Money and Banking II,[2]
1733,EC4333,Financial Economics II,"[1, 2]"
1734,EC4333HM,Financial Economics II,"[1, 2]"
1735,EC4342,International Trade II,[1]
1736,EC4342HM,International Trade II,[1]
1737,EC4343,International Finance II,[1]
1738,EC4343HM,International Finance II,[1]
1739,EC4351,Public Economics,[2]
1740,EC4351HM,Public Economics,[2]
1741,EC4352,Singapore Economy: Practice and Policy,[2]
1742,EC4352HM,Singapore Economy: Practice and Policy,[2]
1743,EC4354,Economics of Education,"[1, 2]"
1744,EC4354HM,Economics of Education,"[1, 2]"
1745,EC4361,Big data and Labour Market Analysis,[2]
1746,EC4361HM,Big data and Labour Market Analysis,[2]
1747,EC4362,Immigration Economics,[2]
1748,EC4362HM,Immigration Economics,[2]
1749,EC4371,Development Economics,"[1, 2]"
1750,EC4371HM,Development Economics,"[1, 2]"
1751,EC4372,Technology and Innovation,"[1, 2]"
1752,EC4372HM,Technology and Innovation,"[1, 2]"
1753,EC4383,Environmental Economics and Policy,"[1, 2]"
1754,EC4383HM,Environmental Economics and Policy,"[1, 2]"
1755,EC4394,Behavioural Economics,"[1, 2]"
1756,EC4394HM,Behavioural Economics,"[1, 2]"
1757,EC4398,Economics of Inequality,[1]
1758,EC4398HM,Economics of Inequality,[1]
1759,EC4401,Honours Thesis,"[1, 2]"
1760,EC4401HM,Honours Thesis,"[1, 2]"
1761,EC4501,Economics and Computation,[2]
1762,EC4501HM,Economics and Computation,[2]
1763,EC4660,Independent Study,"[1, 2]"
1764,EC4660HM,Independent Study,"[1, 2]"
1765,EC4880,Topics in Economics,"[1, 2]"
1766,EC4880HM,Topics in Economics,"[1, 2]"
1767,EC5101,Microeconomic Theory,[1]
1768,EC5101R,Microeconomic Theory,[1]
1769,EC5102,Macroeconomic Theory,[1]
1770,EC5102R,Macroeconomic Theory,[1]
1771,EC5103,Econometric Modelling and Applications I,[1]
1772,EC5103R,Econometric Modelling and Applications I,[1]
1773,EC5104,Mathematics for Economists,[1]
1774,EC5104R,Mathematics for Economists,[1]
1775,EC5319,Experimental Economics,[2]
1776,EC5319R,Experimental Economics,[2]
1777,EC5342,International Trade,[1]
1778,EC5342R,International Trade,[1]
1779,EC5387,Issues in Maritime and Shipping Economics,[4]
1780,EC5387R,Issues in Maritime and Shipping Economics,[4]
1781,EC5881,Topics in Microeconomics,[1]
1782,EC5881R,Topics in Microeconomics,[1]
1783,EC6101,Advanced Microeconomic Theory,[2]
1784,EC6102,Advanced Macroeconomic Theory,[2]
1785,EC6103,Econometric Modelling and Applications II,[2]
1786,EC6104,Advanced Mathematics for Economists,[2]
1787,EC6322,Advanced Industrial Organisation,[1]
1788,EC6770,Graduate Research Seminar,"[1, 2]"
1789,EC6880,Topics in Economics,[1]
1790,EC6881,Advanced Topics in Microeconomics,[1]
1791,EC6882,Advanced Topics in Macroeconomics,[1]
1792,EC6883,Advanced Topics in Applied Economics,[2]
1793,EC6884,Behavioral and Experimental Economics,[2]
1794,ECA5101,Microeconomics,[1]
1795,ECA5102,Macroeconomics,[1]
1796,ECA5103,Quantitative & Computing Methods,[1]
1797,ECA5304,Machine Learning and Economic Forecasting,[2]
1798,ECA5305,R Programming for Economists,[1]
1799,ECA5307,Python Programming for Economists,[1]
1800,ECA5313,Topics in Econometrics,[3]
1801,ECA5325,Project & Policy Evaluation,[2]
1802,ECA5333,Financial Markets & Portfolio Management,"[1, 2]"
1803,ECA5334,Corporate Finance,"[1, 2]"
1804,ECA5335,Derivative Securities,[1]
1805,ECA5342,Advanced International Trade,[2]
1806,ECA5343,Advanced International Finance,[2]
1807,ECA5351,Public Finance,[2]
1808,ECA5371,Economic Growth And Development,[1]
1809,ECA5372,Big Data Analytics and Technologies,[2]
1810,ECA5373,The Singapore Economy,[2]
1811,ECA5374,The Modern Chinese Economy,[2]
1812,ECA5375,Economic Growth in East Asia,[1]
1813,ECA5376,Auctions and Market Design,[2]
1814,ECA5381,Urban Economics,[2]
1815,ECA5383,Environmental Economics,[2]
1816,ECA5396,Economics of Business and Law of Intellectual Assets,[2]
1817,ECA5401,Graduate Internship in Applied Economics,"[1, 2]"
1818,ECA5880,Topics in Applied Economics,[2]
1819,ECA5881,Topics in Economic Policy,[3]
1820,ECA5884,Applied Behavioural Economics,[2]
1821,EE1111A,Electrical Engineering Principles and Practice I,[1]
1822,EE1111B,Electrical & Computer Engineering Principles & Practice,[3]
1823,EE2012,Analytical Methods in Electrical and Computer Engineering,"[1, 2]"
1824,EE2022,Electrical Energy Systems,"[1, 2]"
1825,EE2023,Signals and Systems,"[1, 2]"
1826,EE2026,Digital Design,"[1, 2]"
1827,EE2027,Electronic Circuits,"[1, 2]"
1828,EE2028,Microcontroller Programming and Interfacing,"[1, 2]"
1829,EE2111A,Electrical Engineering Principles and Practice II,[2]
1830,EE2211,Introduction to Machine Learning,"[1, 2]"
1831,EE3104C,Introduction to RF and Microwave Systems & Circuits,[1]
1832,EE3105,Beyond Sky - New Space Technology and Applications,[1]
1833,EE3131C,Communication Systems,[2]
1834,EE3305,Robotic System Design,[1]
1835,EE3306,Introduction to Cyber Physical Systems,[1]
1836,EE3331C,Feedback Control Systems,"[1, 2]"
1837,EE3408C,Integrated Analog Design,[1]
1838,EE3431C,Microelectronics Materials and Devices,"[1, 2]"
1839,EE3731C,Signal Analytics,[1]
1840,EE3801,Data Engineering Principles,[1]
1841,EE4001,B.Eng. Dissertation,"[1, 2, 3, 4]"
1842,EE4002D,Design Capstone,"[1, 2, 3, 4]"
1843,EE4002R,Research Capstone,"[1, 2, 3, 4]"
1844,EE4032,Blockchain Engineering,[1]
1845,EE4101,RF Communications,[1]
1846,EE4112,Radio Frequency Design and Systems,[1]
1847,EE4115,Remote Sensing & Analysis with Deep Learning Techniques,[2]
1848,EE4204,Computer Networks,"[1, 2]"
1849,EE4205,Quantum Communication and Cryptography,[2]
1850,EE4211,Data Science for the Internet of Things,[1]
1851,EE4212,Computer Vision,[2]
1852,EE4216,Hardware for Internet of Things,[1]
1853,EE4218,Embedded Hardware System Design,[2]
1854,EE4302,Advanced Control Systems,[1]
1855,EE4303,Industrial Control Systems,[1]
1856,EE4308,Autonomous Robot Systems,[2]
1857,EE4309,Robot Perception,[1]
1858,EE4311,Fuzzy Logic and Neuro Fuzzy Systems,[1]
1859,EE4312,Artificial Neural Networks,[2]
1860,EE4407,Analog Electronics,[1]
1861,EE4409,Modern Microelectronic Devices & Sensors,[2]
1862,EE4415,Integrated Digital Design,[2]
1863,EE4435,Modern Transistors and Memory Devices,[1]
1864,EE4436,Fabrication Process Technology,[1]
1865,EE4437,Photonics - Principles and Applications,[2]
1866,EE4438,Solar Cells and Modules,[2]
1867,EE4501,Power System Management And Protection,[1]
1868,EE4502,Electric Drives & Control,[1]
1869,EE4503,Power Electronics for Sustainable Energy Technologies,[2]
1870,EE4505,Power Semiconductor Devices & ICs,[2]
1871,EE4509,Silicon Micro Systems,[2]
1872,EE4511,Renewable Generation and Smart Grid,[2]
1873,EE4513,Electric Vehicles and their Grid Integration,[2]
1874,EE4704,Image Processing and Analysis,[1]
1875,EE4705,Human-Robot Interaction,[1]
1876,EE4802,Learning from Data,[2]
1877,EE5001,Independent Study Course I,"[1, 2]"
1878,EE5002,Independent Study Course Ii,"[1, 2]"
1879,EE5003,Electrical Engineering Project,"[1, 2]"
1880,EE5020,Data Science for Internet of Things,[2]
1881,EE5021,Cloud based Services for Internet of Things,[2]
1882,EE5022,Cyber Security for Internet of Things,[2]
1883,EE5023,Wireless Networks,[2]
1884,EE5024,IoT Sensor Networks,[2]
1885,EE5025,Intellectual Property: Innovations in IoT,[1]
1886,EE5026,Machine Learning for Data Analytics,[1]
1887,EE5027,Statistical Pattern Recognition,[1]
1888,EE5060,Sensors and Instrumentation for Automation,[1]
1889,EE5061,Industrial Control and Programming,[1]
1890,EE5062,Autonomous Systems,[1]
1891,EE5064,Dynamics and Control of Robot Manipulators,[2]
1892,EE5101,Linear Systems,"[1, 2]"
1893,EE5103,Computer Control Systems,[1]
1894,EE5104,Adaptive Control Systems,[2]
1895,EE5106,Advanced Robotics,[2]
1896,EE5110,Special Topics in Automation and Control,[1]
1897,EE5111,Selected Topics in Industrial Control & Instrumentation,[1]
1898,EE5112,Human Robot Interaction,[1]
1899,EE5114,Autonomous Robot Navigation,[1]
1900,EE5134,Optical Communications and Networks,[2]
1901,EE5135,Digital Communications,[2]
1902,EE5137,Stochastic Processes,[2]
1903,EE5139,Information Theory and its Applications,[1]
1904,EE5303,Microwave Electronics,[1]
1905,EE5308,Antenna Engineering,[1]
1906,EE5311,Differentiable and Probabilistic Computing,[2]
1907,EE5434,Microelectronic Processes and Integration,[2]
1908,EE5439,Micro/Nano Electromechanical Systems,[1]
1909,EE5441,Introduction to Nanoelectronics and Emerging Devices,[2]
1910,EE5442,Memory Technologies and Their Emerging Applications,[2]
1911,EE5502,Mos Devices,[1]
1912,EE5507,Analog Integrated Circuits Design,[2]
1913,EE5508,Semiconductor Fundamentals,"[1, 2]"
1914,EE5517,Optical Engineering,[1]
1915,EE5518,Vlsi Digital Circuit Design,[1]
1916,EE5531,Smart Grid Technologies,[2]
1917,EE5666,Industrial Attachment,"[1, 2]"
1918,EE5702,Advanced Power System Analysis,[1]
1919,EE5703,Industrial Drives,[1]
1920,EE5711,Power Electronic Systems,[2]
1921,EE5713,Modern Power Systems and Smart Grid,[2]
1922,EE5731,Visual Computing,[1]
1923,EE5801,Electromagnetic Compatibility,[2]
1924,EE5831,Electromagnetic Wave Theory,[1]
1925,EE5904,Neural Networks,[2]
1926,EE5907,Pattern Recognition,"[1, 2]"
1927,EE5999,Graduate Seminars,"[1, 2]"
1928,EE6104,Adaptive Control Systems (Advanced),[2]
1929,EE6110,Special Topics in Automation and Control (Advanced),[1]
1930,EE6135,Digital Communications (Advanced),[2]
1931,EE6139,Information Theory and its Applications (Advanced),[1]
1932,EE6437,Advanced Semiconductor Devices,[2]
1933,EE6439,Micro/Nano Electromechanical Systems (Advanced),[1]
1934,EE6440,Advanced Topics in Photonics,[1]
1935,EE6531,Advanced Topics in Smart Grid Technologies,[2]
1936,EE6733,Advanced Topics on Vision and Machine Learning,[1]
1937,EE6831,Advanced Electromagnetic Theory and Applications,[2]
1938,EE6832,Selected Topics in EM Metamaterial and Multiple-Antenna,[2]
1939,EE6934,Deep Learning (Advanced),[2]
1940,EE6990,Research Attachment,"[1, 2]"
1941,EE6999,Doctoral Seminars,"[1, 2]"
1942,EEK5001,Semiconductor Technology and Operations Project I,"[1, 2]"
1943,EEK5003,Semiconductor Technology and Operations Project II,"[1, 2]"
1944,EEK5101,Integrated Circuit Technology and Design Methodology,[1]
1945,EEK5102,"Heterogeneous Integration, IC Packaging and Testing",[2]
1946,EEK5103,Photonic Integrated Circuits,[1]
1947,EEK5104,Bioelectronics,[1]
1948,EEK5105,Semiconductor Materials and Devices,[2]
1949,EEK5106,Semiconductor Yield and Failure Analysis,[1]
1950,EEK5301,Evolution and Transformation of Semiconductor Industry,[1]
1951,EEK5302,Semiconductor Supply Chain and Demand Management,[2]
1952,EEK5888,Semiconductor Technology and Operations Internship,"[1, 2]"
1953,EG1311,Design and Make,"[1, 2]"
1954,EG2401A,Engineering Professionalism,"[1, 2]"
1955,EG2605,Undergraduate Research Opportunities Programme,"[1, 2, 3, 4]"
1956,EG2606A,Independent Work,"[1, 2, 3, 4]"
1957,EG2606B,Independent Work,"[1, 2, 4]"
